,Name,Last year,Two years ago
0,A.J. Brown,236.2,119.5
1,A.T. Perry,0.0,0.0
2,AJ Dillon,139.6,162.1
3,Aaron Jones,193.6,196.0
4,Aaron Rodgers,304.2,392.7
5,Adam Prentice,1.3,1.1
6,Adam Thielen,113.0,117.9
7,Adam Trautman,26.7,254.4
8,Aidan O'Connell,0.0,0.0
9,Alec Ingold,11.3,9.1
10,Alec Pierce,71.3,0.0
11,Alexander Mattison,73.4,94.6
12,Allen Lazard,114.8,79.5
13,Allen Robinson,51.9,53.1
14,Alvin Kamara,162.7,187.7
15,Amari Cooper,170.0,110.6
16,Amari Rodgers,22.1,5.9
17,Ameer Abdullah,11.9,46.8
18,Amon-Ra St. Brown,161.6,108.3
19,Andrei Iosivas,0.0,0.0
20,Andrew Beck,0.0,0.0
21,Andy Dalton,221.0,115.4
22,Anthony Richardson,0.0,0.0
23,Antoine Green,0.0,0.0
24,Antonio Gibson,119.9,193.1
25,Austin Ekeler,288.0,275.8
26,Austin Hooper,56.4,47.6
27,Austin Trammell,1.3,0.0
28,Bailey Zappe,58.5,0.0
29,Baker Mayfield,100.9,239.0
30,Ben Sims,0.0,0.0
31,Ben Skowronek,45.3,11.6
32,Bijan Robinson,0.0,0.0
33,Blaine Gabbert,5.5,3.0
34,Blake Bell,8.4,8.9
35,Boston Scott,60.2,96.6
36,Brandin Cooks,88.6,120.2
37,Brandon Aiyuk,162.7,136.1
38,Brandon Johnson,10.2,0.0
39,Brandon Powell,22.4,0.0
40,Braxton Berrios,37.5,47.7
41,Breece Hall,98.1,0.0
42,Brenton Strange,0.0,0.0
43,Brett Rypien,32.9,0.0
44,Brevin Jordan,12.8,77.1
45,Brian Hoyer,1.9,15.0
46,Brian Robinson,103.7,0.0
47,Brock Purdy,176.7,0.0
48,Brock Wright,45.6,16.3
49,Bryce Young,0.0,0.0
50,Brycen Hopkins,10.9,67.2
51,Byron Pringle,25.5,86.1
52,C.J. Beathard,1.8,1.7
53,C.J. Stroud,0.0,0.0
54,C.J. Uzomah,35.2,65.2
55,Cade Otton,56.9,0.0
56,Calvin Austin,0.0,0.0
57,Calvin Ridley,0.0,31.7
58,Cam Akers,264.6,52.2
59,Cedric Tillman,0.0,0.0
60,Cedrick Wilson,15.8,82.8
61,CeeDee Lamb,219.7,170.0
62,Charlie Jones,0.0,0.0
63,Charlie Kolar,4.9,0.0
64,Chase Brown,0.0,0.0
65,Chase Claypool,93.4,212.2
66,Chase Edmonds,18.6,105.1
67,Chigoziem Okonkwo,63.2,0.0
68,Chris Brooks,0.0,0.0
69,Chris Evans,0.0,28.8
70,Chris Godwin,129.3,162.7
71,Chris Manhertz,4.2,7.4
72,Chris Moore,67.1,33.9
73,Chris Olave,128.2,0.0
74,Chris Rodriguez,0.0,0.0
75,Christian Kirk,186.7,146.3
76,Christian McCaffrey,234.6,90.5
77,Christian Watson,123.1,0.0
78,Chuba Hubbard,75.7,114.2
79,Clayton Tune,0.0,0.0
80,Clyde Edwards-Helaire,81.3,111.5
81,Cody Thompson,0.0,0.0
82,Colby Parkinson,45.6,3.0
83,Cole Kmet,97.3,77.4
84,Cole Turner,2.3,0.0
85,Colton Dowell,0.0,0.0
86,Connor Heyward,23.8,0.0
