,Name,Team,Pos,COMP,PATT,PYDS,PTD,INT,RATT,RYDS,RTD,REC,TAR,REYDS,RETD,TOT,LOST,G,Last year,Two years ago,Value,Old_Value
0,A.J. Brown,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,118.0,1164.0,7.0,0.0,0.0,12.0,236.2,119.5,13.074106027966154,13.07
1,A.T. Perry,NO,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,75.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0368780964343032,
2,AJ Dillon,GB,RB,0.0,0.0,0.0,0.0,0.0,149.0,521.0,1.0,20.0,25.0,198.0,0.0,0.0,0.0,12.0,139.6,162.1,6.022188727439747,6.02
3,Aaron Jones,GB,RB,0.0,0.0,0.0,0.0,0.0,66.0,245.0,2.0,19.0,30.0,169.0,1.0,2.0,1.0,7.0,193.6,196.0,5.966522458297616,5.96
4,Aaron Rodgers,NYJ,QB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,304.2,392.7,2.1880956662470776,2.18
5,Adam Prentice,NO,FB,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,2.0,5.0,0.0,1.0,1.0,1.0,1.3,1.1,0.0949777684127224,0.09
6,Adam Thielen,CAR,WR,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,80.0,106.0,753.0,4.0,1.0,0.0,12.0,113.0,117.9,8.324112612470007,8.32
7,Adam Trautman,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.0,131.0,2.0,0.0,0.0,11.0,26.7,254.4,2.444549469290639,2.44
8,Aidan O'Connell,LV,QB,113.0,178.0,1194.0,4.0,6.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,3.315450226135274,
9,Albert Okwuegbunam,PHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5,-1.5
10,Alec Ingold,MIA,FB,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.3,9.1,0.09144038841934904,0.09
11,Alec Pierce,IND,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,391.0,1.0,0.0,0.0,12.0,71.3,0.0,3.401695572168038,3.4
12,Alex Erickson,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,52.0,0.0,0.0,0.0,3.0,0.0,0.0,0.2747191403251692,
